Record Start Date,Record End Date,Source ID,Source ID Description,ID,Type Name,Asset ID,Location,Owner,Maintenance,Jurisdiction
08/02/2007 10:25,,1,FAST FMS,89,Detector or Ramp Meter- "A",015104399,I-15 NB  between I-15 NB Washington/D-St On-Ramp and I-15 NB  Lake Mead EB Off-Ramp,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,114,Detector or Ramp Meter- "A",515107478,On-Ramp, Las Vegas Boulevard to  I-515 NB,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,96,Detector or Ramp Meter- "A",515007191,Off-Ramp, I-515 SB to  Charleston Boulevard,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,102,Detector or Ramp Meter- "A",515007324,On-Ramp, Eastern Avenue to  I-515 SB,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,298,Detector or Ramp Meter- "A",1002,Las Vegas Boulevard and Stewart,FAST FMS,FAST FMS,CLARK COUNTY
08/02/2007 10:25,,1,FAST FMS,81,Detector or Ramp Meter- "A",015004328,On-Ramp, D Street to  I-15 SB,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,334,Detector or Ramp Meter- "A",CCTV37,Desert Inn and Valley View,FAST FMS,FAST FMS,FAST FMS
08/02/2007 10:25,,1,FAST FMS,94,Detector or Ramp Meter- "A",015104485,I-15 NB  between I-15 NB  Lake Mead EB Off-Ramp and I-15 NB Lake Mead WB Off-Ramp,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,233,Detector or Ramp Meter- "A",015004272,Interchange, I-515 NB to  I-15 SB near I-515 NB and I-15 SB,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,297,Detector or Ramp Meter- "A",1032,Las Vegas Boulevard and Lake Mead,FAST FMS,FAST FMS,OTHER PUBLIC
08/02/2007 10:25,,1,FAST FMS,299,Detector or Ramp Meter- "A",1029,Las Vegas Boulevard and US-95,FAST FMS,FAST FMS,CLARK COUNTY
08/02/2007 10:25,,1,FAST FMS,300,Detector or Ramp Meter- "A",1015,Tropicana and Las Vegas Boulevard,FAST FMS,FAST FMS,FAST AMS
08/02/2007 10:25,,1,FAST FMS,301,Detector or Ramp Meter- "A",1020,Sahara and Las Vegas Boulevard,FAST FMS,FAST FMS,FAST AMS
08/02/2007 10:25,,1,FAST FMS,302,Detector or Ramp Meter- "A",1008,Flamingo and Las Vegas Boulevard,FAST FMS,FAST FMS,FAST AMS
08/02/2007 10:25,,1,FAST FMS,303,Detector or Ramp Meter- "A",1044,Sahara and Jones,FAST FMS,FAST FMS,FAST AMS
08/02/2007 10:25,,1,FAST FMS,304,Detector or Ramp Meter- "A",1035,Sahara and Rainbow,FAST FMS,FAST FMS,FAST AMS
08/02/2007 10:25,,1,FAST FMS,305,Detector or Ramp Meter- "A",1042,Lake Mead and Boulder Highway,FAST FMS,FAST FMS,CITY OF HENDERSON
08/02/2007 10:25,,1,FAST FMS,306,Detector or Ramp Meter- "A",1023,Charleston and Rainbow,FAST FMS,FAST FMS,CLARK COUNTY
08/02/2007 10:25,,1,FAST FMS,307,Detector or Ramp Meter- "A",1034,Lake Mead and Civic Center,FAST FMS,FAST FMS,OTHER PUBLIC
08/02/2007 10:25,,1,FAST FMS,308,Detector or Ramp Meter- "A",1017,Flamingo and Decatur,FAST FMS,FAST FMS,FAST AMS
08/02/2007 10:25,,1,FAST FMS,309,Detector or Ramp Meter- "A",1027,US-95 and Decatur,FAST FMS,FAST FMS,CLARK COUNTY
08/02/2007 10:25,,1,FAST FMS,310,Detector or Ramp Meter- "A",1047,Sahara and Rancho,FAST FMS,FAST FMS,CLARK COUNTY
08/02/2007 10:25,,1,FAST FMS,311,Detector or Ramp Meter- "A",1018,Desert Inn and Rainbow,FAST FMS,FAST FMS,FAST AMS
08/02/2007 10:25,,1,FAST FMS,312,Detector or Ramp Meter- "A",1007,Charleston and US-95,FAST FMS,FAST FMS,FAST AMS
08/02/2007 10:25,,1,FAST FMS,313,Detector or Ramp Meter- "A",1003,Flamingo and Boulder Highway,FAST FMS,FAST FMS,FAST AMS
08/02/2007 10:25,,1,FAST FMS,314,Detector or Ramp Meter- "A",1030,Eastern and US-95,FAST FMS,FAST FMS,CLARK COUNTY
08/02/2007 10:25,,1,FAST FMS,315,Detector or Ramp Meter- "A",1009,Las Vegas Boulevard and Convention Center,FAST FMS,FAST FMS,FAST AMS
08/02/2007 10:25,,1,FAST FMS,316,Detector or Ramp Meter- "A",1010,Las Vegas Boulevard and Oakey,FAST FMS,FAST FMS,CLARK COUNTY
08/02/2007 10:25,,1,FAST FMS,317,Detector or Ramp Meter- "A",1011,Las Vegas Boulevard and Charleston,FAST FMS,FAST FMS,CLARK COUNTY
08/02/2007 10:25,,1,FAST FMS,318,Detector or Ramp Meter- "A",1025,Charleston and Grand Central Prkwy,FAST FMS,FAST FMS,CLARK COUNTY
08/02/2007 10:25,,1,FAST FMS,319,Detector or Ramp Meter- "A",1024,Charleston and Rancho,FAST FMS,FAST FMS,CLARK COUNTY
08/02/2007 10:25,,1,FAST FMS,254,Detector or Ramp Meter- "A",515107506,On-Ramp, Casino Center Boulevard to  I-515 NB,CITY OF LAS VEGAS,CITY OF LAS VEGAS,CITY OF LAS VEGAS
08/02/2007 10:25,,1,FAST FMS,321,Detector or Ramp Meter- "A",1001,Main and Fremont,FAST FMS,FAST FMS,CLARK COUNTY
08/02/2007 10:25,,1,FAST FMS,322,Detector or Ramp Meter- "A",1022,Charleston and Decatur,FAST FMS,FAST FMS,CLARK COUNTY
08/02/2007 10:25,,1,FAST FMS,324,Detector or Ramp Meter- "A",1026,US-95 and Jones,FAST FMS,FAST FMS,CLARK COUNTY
08/02/2007 10:25,,1,FAST FMS,325,Detector or Ramp Meter- "A",1028,US-95 and Rancho,FAST FMS,FAST FMS,CLARK COUNTY
08/02/2007 10:25,,1,FAST FMS,326,Detector or Ramp Meter- "A",1046,Sahara and Decatur,FAST FMS,FAST FMS,FAST AMS
08/02/2007 10:25,,1,FAST FMS,327,Detector or Ramp Meter- "A",1033,Cheyenne and I-15,FAST FMS,FAST FMS,OTHER PUBLIC
08/02/2007 10:25,,1,FAST FMS,328,Detector or Ramp Meter- "A",1045,Sahara and Valley View,FAST FMS,FAST FMS,CLARK COUNTY
08/02/2007 10:25,,1,FAST FMS,329,Detector or Ramp Meter- "A",1064,Desert Inn and Paradise,FAST FMS,FAST FMS,FAST AMS
08/02/2007 10:25,,1,FAST FMS,330,Detector or Ramp Meter- "A",1005,Charleston and Fremont,FAST FMS,FAST FMS,FAST AMS
08/02/2007 10:25,,1,FAST FMS,331,Detector or Ramp Meter- "A",1014,Tropicana and Paradise,FAST FMS,FAST FMS,FAST AMS
08/02/2007 10:25,,1,FAST FMS,332,Detector or Ramp Meter- "A",1004,US-95 and Boulder Highway,FAST FMS,FAST FMS,FAST AMS
08/02/2007 10:25,,1,FAST FMS,333,Detector or Ramp Meter- "A",1021,Sahara and Eastern,FAST FMS,FAST FMS,FAST AMS
08/02/2007 10:25,,1,FAST FMS,277,Detector or Ramp Meter- "A",,Jean I-15 SB,FAST FMS,FAST FMS,FAST FMS
